dataset,model,model_config,model_name,fraction,unlabeled_ratio,run,epoch,loss,g_loss,d_loss,d_loss_sup,d_loss_unsup,c_loss,accuracy,macro_f1,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1
mams,baseline,,baseline,0.1,,2,3.0,0.7438454627990723,,,,,,0.6964856386184692,0.6953209638595581,0.6525360345840454,0.7590625286102295,0.5801252126693726,0.6320127844810486,0.7696874737739563,0.5881462097167969
mams,baseline,,baseline,0.1,,2,4.0,0.6446574926376343,,,,,,0.7396166324615479,0.7381394505500793,0.7026152610778809,0.7518749833106995,0.5733147263526917,0.6635615825653076,0.7678124904632568,0.596164345741272
mams,baseline,,baseline,0.1,,3,0.0,1.3800938129425049,,,,,,0.3161764740943908,0.3113347887992859,1.2978651523590088,0.3625000119209289,0.2661039233207702,1.302484393119812,0.375,0.2890550196170807
mams,baseline,,baseline,0.1,,3,1.0,1.248267412185669,,,,,,0.4305555522441864,0.4188126921653747,1.0387609004974363,0.620312511920929,0.4178903102874756,1.0458110570907593,0.6212499737739563,0.425550639629364
mams,baseline,,baseline,0.1,,3,2.0,1.1206542253494265,,,,,,0.5261437892913818,0.5167044401168823,0.9669830799102784,0.6493750214576721,0.4858541488647461,0.9755025506019592,0.6371874809265137,0.4737244546413421
mams,baseline,,baseline,0.1,,3,3.0,1.0011100769042969,,,,,,0.5923202633857727,0.5891860127449036,0.8420708179473877,0.6693750023841858,0.5050051212310791,0.8332904577255249,0.667187511920929,0.5045512318611145
mams,baseline,,baseline,0.1,,3,4.0,0.8654334545135498,,,,,,0.6495097875595093,0.6493470668792725,0.8629958629608154,0.6690624952316284,0.5242804884910583,0.8552539348602295,0.6703125238418579,0.5276995897293091
mams,baseline,,baseline,0.1,,4,0.0,1.4069063663482666,,,,,,0.290032684803009,0.2846639156341553,1.3780899047851562,0.2253125011920929,0.2293837964534759,1.3727930784225464,0.2387499958276748,0.241931527853012
mams,baseline,,baseline,0.1,,4,1.0,1.2660702466964722,,,,,,0.4174836575984955,0.4158920645713806,1.1186964511871338,0.535937488079071,0.4409686923027038,1.116143822669983,0.5384374856948853,0.4396452009677887
mams,baseline,,baseline,0.1,,4,2.0,0.9827951788902284,,,,,,0.5964052081108093,0.5965121388435364,0.9159183502197266,0.6378124952316284,0.4994173943996429,0.8861368298530579,0.6459375023841858,0.5036718845367432
mams,baseline,,baseline,0.1,,4,3.0,0.8505163192749023,,,,,,0.6584967374801636,0.6585955023765564,0.8507820963859558,0.6643750071525574,0.5226743221282959,0.8263499736785889,0.6681249737739563,0.5141681432723999
mams,baseline,,baseline,0.1,,4,4.0,0.6880485415458679,,,,,,0.7238562107086182,0.7254763245582581,0.9359266757965088,0.6621875166893005,0.5227177143096924,0.9113314151763916,0.6684374809265137,0.5169953107833862
mams,baseline,,baseline,0.1,,5,0.0,1.4047974348068235,,,,,,0.3148464262485504,0.3133670687675476,1.2751586437225342,0.4409374892711639,0.3465890288352966,1.2498691082000732,0.4643749892711639,0.359233021736145
mams,baseline,,baseline,0.1,,5,1.0,1.2121572494506836,,,,,,0.4803754389286041,0.4726189076900482,1.0181633234024048,0.5903124809265137,0.4173055589199066,0.99873685836792,0.6081249713897705,0.4406559467315674
mams,baseline,,baseline,0.1,,5,2.0,1.0961523056030271,,,,,,0.5366894006729126,0.5319015383720398,1.0080395936965942,0.6312500238418579,0.4763857424259186,0.9832658171653748,0.6493750214576721,0.4938480257987976
mams,baseline,,baseline,0.1,,5,3.0,0.9822502136230468,,,,,,0.5938566327095032,0.5908129811286926,0.7932302951812744,0.6978124976158142,0.5027353763580322,0.7631587386131287,0.7174999713897705,0.5300508737564087
mams,baseline,,baseline,0.1,,5,4.0,0.867527961730957,,,,,,0.6697952151298523,0.6675550937652588,0.8167573809623718,0.7056249976158142,0.5377687215805054,0.7950956225395203,0.71875,0.5535762906074524
mams,baseline,,baseline,0.1,,5,5.0,0.7556771039962769,,,,,,0.723549485206604,0.7216454744338989,1.0414968729019165,0.6324999928474426,0.50341796875,1.0136616230010986,0.6403124928474426,0.5140799283981323
mams,baseline,,baseline,0.1,,5,6.0,0.6589006781578064,,,,,,0.7653583884239197,0.7638581395149231,0.8767629861831665,0.7009375095367432,0.5563552379608154,0.867232084274292,0.7024999856948853,0.553852915763855
mams,baseline,,baseline,0.1,,5,7.0,0.5315810441970825,,,,,,0.8020477890968323,0.8006953597068787,0.9012153148651124,0.7099999785423279,0.5550576448440552,0.8780237436294556,0.7181249856948853,0.5713335275650024
mams,baseline,,baseline,0.1,,6,0.0,1.3719528913497925,,,,,,0.3276143670082092,0.3170540332794189,1.309838891029358,0.1846874952316284,0.20133076608181,1.3046061992645264,0.2009374946355819,0.2226002663373947
mams,baseline,,baseline,0.1,,6,1.0,1.2289236783981323,,,,,,0.4207516312599182,0.4129751920700073,1.1864110231399536,0.4834375083446502,0.3718141913414001,1.173205852508545,0.4937500059604645,0.3851222097873688
mams,baseline,,baseline,0.1,,6,2.0,1.0753203630447388,,,,,,0.5220588445663452,0.5117165446281433,1.1281554698944092,0.5649999976158142,0.4300867915153503,1.1032955646514893,0.5756250023841858,0.4452999532222748
mams,baseline,,baseline,0.1,,6,3.0,0.9244414567947388,,,,,,0.6029411554336548,0.5941621661186218,1.0643733739852903,0.6153125166893005,0.4713075160980224,1.022579312324524,0.6334375143051147,0.4957571625709533
